Timestamp,CPU Usage (%),RAM Usage (%),Disk Usage (%)
1722955277.5639012,0.0,73.4,78.4
1722955282.5819845,1.8,73.3,78.4
1722955287.5934498,0.9,73.1,78.4
1722955292.608713,4.7,73.5,78.4
1722955297.6187093,4.0,73.3,78.4
1722955302.6310854,2.1,73.2,78.4
1722955464.0383291,7.1,79.4,78.2
1722955469.0488365,15.0,77.2,78.2
1722955474.0564315,15.3,76.7,78.2
1722955479.063004,10.0,77.3,78.2
1722955484.0695543,7.4,77.4,78.2
1722955489.0764685,8.9,78.5,78.2
1722955494.0835757,17.0,82.6,78.2
1722955499.0922084,15.2,85.1,78.2
1722955504.1091113,13.3,87.7,78.2
1722955509.1194372,21.2,92.4,78.2
1722955514.1262364,14.2,88.0,78.2
1722955519.1662226,8.3,86.3,78.2
1722955534.8019483,0.0,72.0,78.2
1722955539.8130991,21.0,76.4,78.2
1722955544.8193023,5.9,76.2,78.2
1722955549.8270664,0.7,76.2,78.2
1722955554.835214,3.5,75.6,78.2
1722955559.8490553,2.4,71.9,78.2
1722955564.8574724,0.3,71.7,78.2
1722955569.8651733,4.8,71.2,78.2
1722955574.8731477,7.6,71.2,78.2
1722955579.881284,2.3,71.2,78.2
1722955584.8897314,5.3,71.4,78.2
1722955589.8971817,4.2,71.0,78.2
1722955594.9046082,6.2,72.3,78.2
1722955599.9108047,7.8,72.3,78.2
1722955604.9192498,4.9,72.1,78.2
1722955609.9279838,2.4,71.9,78.2
1722955614.935749,3.1,73.4,78.2
1722955619.9448414,4.6,74.5,78.2
1722955624.9511583,2.1,74.6,78.2
1722955629.9610112,6.5,74.7,78.2
1722955634.9699595,2.2,74.7,78.2
1722955639.977498,5.0,74.8,78.2
1722955644.9868243,5.1,74.8,78.2
1722955649.995007,25.6,82.1,78.2
1722955655.0033884,17.5,85.0,78.2
1722955660.0112185,8.4,85.5,78.2
1722955665.0187185,7.1,86.0,78.2
1722955670.027162,7.6,85.5,78.2
1722955675.0349092,11.6,85.6,78.2
1722955680.0412314,14.8,82.0,78.2
1722955685.0488095,8.3,82.2,78.2
1722955690.0550947,9.4,81.8,78.2
1722955695.0617874,11.4,82.2,78.2
1722955700.0684514,7.4,82.2,78.2
1722955705.0761771,16.1,84.3,78.2
1722955710.083526,16.0,84.9,78.2
1722955715.0979028,11.4,84.1,78.2
1722955720.1047013,8.3,84.1,78.2
1722955725.1125505,5.4,84.1,78.2
1722955730.120882,6.3,84.6,78.2
1722955735.1283379,6.8,84.7,78.2
1722955740.1386085,10.4,84.7,78.2
1722955745.1479619,1.7,84.8,78.2
1722955750.1579468,3.3,84.8,78.2
1722955755.1662815,0.8,84.7,78.2
1722955760.1754158,1.1,84.7,78.2
1722955765.184986,2.7,84.7,78.2
1722955770.1935208,3.8,84.9,78.2
1722955775.201268,7.9,85.3,78.2
1722955780.2106862,2.8,85.4,78.2
1722955785.2193167,2.1,85.0,78.2
1722955790.2280755,2.7,84.8,78.2
1722955795.261173,63.3,97.0,78.2
1722955800.3793755,99.9,97.9,78.2
1722955805.444669,99.9,99.7,78.2
1722955810.4908473,96.1,100.0,78.2
1722955815.6824374,88.9,95.4,78.2
1722955820.7069807,100.0,95.0,78.2
1722955825.7262528,100.0,93.6,78.2
1722955830.7436597,95.1,45.7,78.2
1722955835.7520359,13.2,43.0,78.2
1722955840.760349,9.2,41.4,78.2
1722955845.766389,4.9,42.2,78.2
1722955850.77501,4.5,43.3,78.2
1722955855.7868454,7.4,42.6,78.2
1722955860.8151646,9.8,45.3,78.2
1722955865.8227684,6.3,47.0,78.2
1722955870.8328502,19.8,51.8,78.2
1722955875.8409626,87.5,66.2,78.2
1722955880.8499606,99.0,73.9,78.2
1722955885.859828,58.7,73.1,78.2
1722955890.8684585,27.3,75.1,78.2
1722955895.8763785,21.2,75.4,78.2
1722955900.8834538,72.9,78.5,78.2
1722955905.8924322,44.3,79.5,78.2
1722955910.8994856,56.1,82.2,78.2
1722955915.911012,83.7,84.2,78.2
1722955920.918131,25.4,84.3,78.2
1722955925.926795,13.1,39.7,78.2
1722955930.9343584,7.3,43.7,78.2
1722955935.9438264,8.8,47.3,78.2
1722955940.9509873,10.8,50.8,78.2
1722955945.9573765,6.0,52.8,78.2
1722955950.9633193,20.4,54.6,78.2
1722955955.9697316,5.0,54.4,78.2
1722955960.976899,16.5,57.5,78.2
1722955965.9851778,10.7,61.1,78.2
1722955970.9933286,4.9,61.3,78.2
1722955976.0013416,5.3,61.8,78.3
1722955981.0138998,7.4,61.6,78.3
1722955986.0227246,6.4,60.4,78.3
1722955991.0295782,4.6,60.8,78.3
1722955996.0390136,2.1,60.9,78.3
1722956001.052504,4.5,61.0,78.3
1722956006.059131,3.1,60.9,78.3
1722956011.0679305,4.8,62.3,78.3
1722956016.0796318,6.3,62.7,78.3
1722956021.1206117,4.2,61.7,78.3
1722956026.1315124,4.3,61.6,78.3
1722956031.1385622,1.2,61.5,78.3
1722956036.1483605,3.4,60.9,78.3
1722956041.2010953,25.6,66.7,78.4
1722956046.263743,26.2,73.7,78.4
1722956051.2707584,8.1,74.1,78.4
1722956056.2766836,5.2,74.3,78.4
